用户号码,开始时间,开始基站,开始基站经度,开始基站纬度,结束时间,结束基站,结束基站经度,结束基站纬度,停留时间
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827205427,9505689,118.74213,32.04309,20180827211041,9766810,118.741478,32.058667,974
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827211041,9766810,118.741478,32.058667,20180827211048,9505689,118.74213,32.04309,7
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827211048,9505689,118.74213,32.04309,20180827211418,84862978,118.73961,32.05798,210
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827211418,84862978,118.73961,32.05798,20180827211548,84863491,118.74601,32.06161,90
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827211548,84863491,118.74601,32.06161,20180827211931,9766810,118.741478,32.058667,223
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827211931,9766810,118.741478,32.058667,20180827214536,9505689,118.74213,32.04309,1565
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827214536,9505689,118.74213,32.04309,20180827221906,9766811,118.741478,32.058667,2010
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827221906,9766811,118.741478,32.058667,20180827222057,9505689,118.74213,32.04309,111
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827222057,9505689,118.74213,32.04309,20180827222105,9766808,118.74148,32.058667,8
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827222105,9766808,118.74148,32.058667,20180827222246,84863491,118.74601,32.06161,101
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827222246,84863491,118.74601,32.06161,20180827222400,9766808,118.74148,32.058667,74
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827222400,9766808,118.74148,32.058667,20180827222652,84863235,118.74565,32.05711,172
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827222652,84863235,118.74565,32.05711,20180827222707,84863491,118.74601,32.06161,15
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827222707,84863491,118.74601,32.06161,20180827222734,9505689,118.74213,32.04309,27
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827222734,9505689,118.74213,32.04309,20180827222749,9766809,118.74148,32.058667,15
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827222749,9766809,118.74148,32.058667,20180827222903,9766810,118.741478,32.058667,74
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827222903,9766810,118.741478,32.058667,20180827223710,9505689,118.74213,32.04309,487
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827223710,9505689,118.74213,32.04309,20180827223744,9766810,118.741478,32.058667,34
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827223744,9766810,118.741478,32.058667,20180827224524,9505689,118.74213,32.04309,460
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827224524,9505689,118.74213,32.04309,20180827224548,84863491,118.74601,32.06161,24
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827224548,84863491,118.74601,32.06161,20180827224736,9766808,118.74148,32.058667,108
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827224736,9766808,118.74148,32.058667,20180827224801,84863491,118.74601,32.06161,25
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827224801,84863491,118.74601,32.06161,20180827224916,9766808,118.74148,32.058667,75
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827224916,9766808,118.74148,32.058667,20180827225617,9505689,118.74213,32.04309,421
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827225617,9505689,118.74213,32.04309,20180827225626,9766810,118.741478,32.058667,9
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827225626,9766810,118.741478,32.058667,20180827225629,9505689,118.74213,32.04309,3
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827225629,9505689,118.74213,32.04309,20180827225630,84862978,118.73961,32.05798,1
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827225630,84862978,118.73961,32.05798,20180827225830,9766810,118.741478,32.058667,120
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827225830,9766810,118.741478,32.058667,20180827225915,9505689,118.74213,32.04309,45
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827225915,9505689,118.74213,32.04309,20180827225918,9766810,118.741478,32.058667,3
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827225918,9766810,118.741478,32.058667,20180827225921,9766809,118.74148,32.058667,3
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827225921,9766809,118.74148,32.058667,20180827225935,9766810,118.741478,32.058667,14
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827225935,9766810,118.741478,32.058667,20180827230216,9505689,118.74213,32.04309,161
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827230216,9505689,118.74213,32.04309,20180827230216,84862978,118.73961,32.05798,0
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827230216,84862978,118.73961,32.05798,20180827230445,84297987,118.74621,32.06161,149
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827230445,84297987,118.74621,32.06161,20180827232323,9766807,118.74148,32.058667,1118
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827232323,9766807,118.74148,32.058667,20180827232343,84863491,118.74601,32.06161,20
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827232343,84863491,118.74601,32.06161,20180827232350,9766808,118.74148,32.058667,7
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827232350,9766808,118.74148,32.058667,20180827233106,84863235,118.74565,32.05711,436
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827233106,84863235,118.74565,32.05711,20180827233106,84863491,118.74601,32.06161,0
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827233106,84863491,118.74601,32.06161,20180827233115,9766807,118.74148,32.058667,9
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827233115,9766807,118.74148,32.058667,20180827233919,9766808,118.74148,32.058667,484
